frame,cluster,type,recommended_role,n_pyr_atoms,n_water_molecules,n_total_atoms,calculation_level,xyz_file,note
6,PYR2,monomer,site_energy,26,35,166,production_screening,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame006_PYR2_water5A.xyz,Full-production monomer site-energy input reconstructed from local QM cluster XYZ files; water shell will be converted to electrostatic point-charge embedding.
6,PYR3,monomer,site_energy,26,39,182,production_screening,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame006_PYR3_water5A.xyz,Full-production monomer site-energy input reconstructed from local QM cluster XYZ files; water shell will be converted to electrostatic point-charge embedding.
6,PYR4,monomer,site_energy,26,43,198,production_screening,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame006_PYR4_water5A.xyz,Full-production monomer site-energy input reconstructed from local QM cluster XYZ files; water shell will be converted to electrostatic point-charge embedding.
6,PYR5,monomer,site_energy,26,41,190,production_screening,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame006_PYR5_water5A.xyz,Full-production monomer site-energy input reconstructed from local QM cluster XYZ files; water shell will be converted to electrostatic point-charge embedding.
7,PYR2,monomer,site_energy,26,48,218,production_screening,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame007_PYR2_water5A.xyz,Full-production monomer site-energy input reconstructed from local QM cluster XYZ files; water shell will be converted to electrostatic point-charge embedding.
7,PYR3,monomer,site_energy,26,48,218,production_screening,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame007_PYR3_water5A.xyz,Full-production monomer site-energy input reconstructed from local QM cluster XYZ files; water shell will be converted to electrostatic point-charge embedding.
7,PYR4,monomer,site_energy,26,41,190,production_screening,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame007_PYR4_water5A.xyz,Full-production monomer site-energy input reconstructed from local QM cluster XYZ files; water shell will be converted to electrostatic point-charge embedding.
7,PYR5,monomer,site_energy,26,49,222,production_screening,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame007_PYR5_water5A.xyz,Full-production monomer site-energy input reconstructed from local QM cluster XYZ files; water shell will be converted to electrostatic point-charge embedding.
8,PYR2,monomer,site_energy,26,40,186,production_screening,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame008_PYR2_water5A.xyz,Full-production monomer site-energy input reconstructed from local QM cluster XYZ files; water shell will be converted to electrostatic point-charge embedding.
8,PYR3,monomer,site_energy,26,37,174,production_screening,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame008_PYR3_water5A.xyz,Full-production monomer site-energy input reconstructed from local QM cluster XYZ files; water shell will be converted to electrostatic point-charge embedding.
8,PYR4,monomer,site_energy,26,40,186,production_screening,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame008_PYR4_water5A.xyz,Full-production monomer site-energy input reconstructed from local QM cluster XYZ files; water shell will be converted to electrostatic point-charge embedding.
8,PYR5,monomer,site_energy,26,39,182,production_screening,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame008_PYR5_water5A.xyz,Full-production monomer site-energy input reconstructed from local QM cluster XYZ files; water shell will be converted to electrostatic point-charge embedding.
9,PYR2,monomer,site_energy,26,44,202,production_screening,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame009_PYR2_water5A.xyz,Full-production monomer site-energy input reconstructed from local QM cluster XYZ files; water shell will be converted to electrostatic point-charge embedding.
9,PYR3,monomer,site_energy,26,41,190,production_screening,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame009_PYR3_water5A.xyz,Full-production monomer site-energy input reconstructed from local QM cluster XYZ files; water shell will be converted to electrostatic point-charge embedding.
9,PYR4,monomer,site_energy,26,42,194,production_screening,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame009_PYR4_water5A.xyz,Full-production monomer site-energy input reconstructed from local QM cluster XYZ files; water shell will be converted to electrostatic point-charge embedding.
9,PYR5,monomer,site_energy,26,42,194,production_screening,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame009_PYR5_water5A.xyz,Full-production monomer site-energy input reconstructed from local QM cluster XYZ files; water shell will be converted to electrostatic point-charge embedding.
10,PYR2,monomer,site_energy,26,41,190,production_screening,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame010_PYR2_water5A.xyz,Full-production monomer site-energy input reconstructed from local QM cluster XYZ files; water shell will be converted to electrostatic point-charge embedding.
10,PYR3,monomer,site_energy,26,40,186,production_screening,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame010_PYR3_water5A.xyz,Full-production monomer site-energy input reconstructed from local QM cluster XYZ files; water shell will be converted to electrostatic point-charge embedding.
10,PYR4,monomer,site_energy,26,43,198,production_screening,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame010_PYR4_water5A.xyz,Full-production monomer site-energy input reconstructed from local QM cluster XYZ files; water shell will be converted to electrostatic point-charge embedding.
10,PYR5,monomer,site_energy,26,38,178,production_screening,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame010_PYR5_water5A.xyz,Full-production monomer site-energy input reconstructed from local QM cluster XYZ files; water shell will be converted to electrostatic point-charge embedding.
11,PYR2,monomer,site_energy,26,38,178,production_screening,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame011_PYR2_water5A.xyz,Full-production monomer site-energy input reconstructed from local QM cluster XYZ files; water shell will be converted to electrostatic point-charge embedding.
11,PYR3,monomer,site_energy,26,41,190,production_screening,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame011_PYR3_water5A.xyz,Full-production monomer site-energy input reconstructed from local QM cluster XYZ files; water shell will be converted to electrostatic point-charge embedding.
11,PYR4,monomer,site_energy,26,46,210,production_screening,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame011_PYR4_water5A.xyz,Full-production monomer site-energy input reconstructed from local QM cluster XYZ files; water shell will be converted to electrostatic point-charge embedding.
11,PYR5,monomer,site_energy,26,47,214,production_screening,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame011_PYR5_water5A.xyz,Full-production monomer site-energy input reconstructed from local QM cluster XYZ files; water shell will be converted to electrostatic point-charge embedding.
12,PYR2,monomer,site_energy,26,41,190,production_screening,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame012_PYR2_water5A.xyz,Full-production monomer site-energy input reconstructed from local QM cluster XYZ files; water shell will be converted to electrostatic point-charge embedding.
12,PYR3,monomer,site_energy,26,46,210,production_screening,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame012_PYR3_water5A.xyz,Full-production monomer site-energy input reconstructed from local QM cluster XYZ files; water shell will be converted to electrostatic point-charge embedding.
12,PYR4,monomer,site_energy,26,33,158,production_screening,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame012_PYR4_water5A.xyz,Full-production monomer site-energy input reconstructed from local QM cluster XYZ files; water shell will be converted to electrostatic point-charge embedding.
12,PYR5,monomer,site_energy,26,40,186,production_screening,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame012_PYR5_water5A.xyz,Full-production monomer site-energy input reconstructed from local QM cluster XYZ files; water shell will be converted to electrostatic point-charge embedding.
13,PYR2,monomer,site_energy,26,39,182,production_screening,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame013_PYR2_water5A.xyz,Full-production monomer site-energy input reconstructed from local QM cluster XYZ files; water shell will be converted to electrostatic point-charge embedding.
13,PYR3,monomer,site_energy,26,38,178,production_screening,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame013_PYR3_water5A.xyz,Full-production monomer site-energy input reconstructed from local QM cluster XYZ files; water shell will be converted to electrostatic point-charge embedding.
13,PYR4,monomer,site_energy,26,35,166,production_screening,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame013_PYR4_water5A.xyz,Full-production monomer site-energy input reconstructed from local QM cluster XYZ files; water shell will be converted to electrostatic point-charge embedding.
13,PYR5,monomer,site_energy,26,43,198,production_screening,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame013_PYR5_water5A.xyz,Full-production monomer site-energy input reconstructed from local QM cluster XYZ files; water shell will be converted to electrostatic point-charge embedding.
14,PYR2,monomer,site_energy,26,44,202,production_screening,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame014_PYR2_water5A.xyz,Full-production monomer site-energy input reconstructed from local QM cluster XYZ files; water shell will be converted to electrostatic point-charge embedding.
14,PYR3,monomer,site_energy,26,45,206,production_screening,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame014_PYR3_water5A.xyz,Full-production monomer site-energy input reconstructed from local QM cluster XYZ files; water shell will be converted to electrostatic point-charge embedding.
14,PYR4,monomer,site_energy,26,36,170,production_screening,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame014_PYR4_water5A.xyz,Full-production monomer site-energy input reconstructed from local QM cluster XYZ files; water shell will be converted to electrostatic point-charge embedding.
14,PYR5,monomer,site_energy,26,45,206,production_screening,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame014_PYR5_water5A.xyz,Full-production monomer site-energy input reconstructed from local QM cluster XYZ files; water shell will be converted to electrostatic point-charge embedding.
15,PYR2,monomer,site_energy,26,45,206,production_screening,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame015_PYR2_water5A.xyz,Full-production monomer site-energy input reconstructed from local QM cluster XYZ files; water shell will be converted to electrostatic point-charge embedding.
15,PYR3,monomer,site_energy,26,43,198,production_screening,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame015_PYR3_water5A.xyz,Full-production monomer site-energy input reconstructed from local QM cluster XYZ files; water shell will be converted to electrostatic point-charge embedding.
15,PYR4,monomer,site_energy,26,43,198,production_screening,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame015_PYR4_water5A.xyz,Full-production monomer site-energy input reconstructed from local QM cluster XYZ files; water shell will be converted to electrostatic point-charge embedding.
15,PYR5,monomer,site_energy,26,47,214,production_screening,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame015_PYR5_water5A.xyz,Full-production monomer site-energy input reconstructed from local QM cluster XYZ files; water shell will be converted to electrostatic point-charge embedding.
16,PYR2,monomer,site_energy,26,44,202,production_screening,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame016_PYR2_water5A.xyz,Full-production monomer site-energy input reconstructed from local QM cluster XYZ files; water shell will be converted to electrostatic point-charge embedding.
16,PYR3,monomer,site_energy,26,48,218,production_screening,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame016_PYR3_water5A.xyz,Full-production monomer site-energy input reconstructed from local QM cluster XYZ files; water shell will be converted to electrostatic point-charge embedding.
16,PYR4,monomer,site_energy,26,41,190,production_screening,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame016_PYR4_water5A.xyz,Full-production monomer site-energy input reconstructed from local QM cluster XYZ files; water shell will be converted to electrostatic point-charge embedding.
16,PYR5,monomer,site_energy,26,49,222,production_screening,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame016_PYR5_water5A.xyz,Full-production monomer site-energy input reconstructed from local QM cluster XYZ files; water shell will be converted to electrostatic point-charge embedding.
17,PYR2,monomer,site_energy,26,46,210,production_screening,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame017_PYR2_water5A.xyz,Full-production monomer site-energy input reconstructed from local QM cluster XYZ files; water shell will be converted to electrostatic point-charge embedding.
17,PYR3,monomer,site_energy,26,41,190,production_screening,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame017_PYR3_water5A.xyz,Full-production monomer site-energy input reconstructed from local QM cluster XYZ files; water shell will be converted to electrostatic point-charge embedding.
17,PYR4,monomer,site_energy,26,48,218,production_screening,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame017_PYR4_water5A.xyz,Full-production monomer site-energy input reconstructed from local QM cluster XYZ files; water shell will be converted to electrostatic point-charge embedding.
17,PYR5,monomer,site_energy,26,48,218,production_screening,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame017_PYR5_water5A.xyz,Full-production monomer site-energy input reconstructed from local QM cluster XYZ files; water shell will be converted to electrostatic point-charge embedding.
18,PYR2,monomer,site_energy,26,41,190,production_screening,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame018_PYR2_water5A.xyz,Full-production monomer site-energy input reconstructed from local QM cluster XYZ files; water shell will be converted to electrostatic point-charge embedding.
18,PYR3,monomer,site_energy,26,43,198,production_screening,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame018_PYR3_water5A.xyz,Full-production monomer site-energy input reconstructed from local QM cluster XYZ files; water shell will be converted to electrostatic point-charge embedding.
18,PYR4,monomer,site_energy,26,43,198,production_screening,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame018_PYR4_water5A.xyz,Full-production monomer site-energy input reconstructed from local QM cluster XYZ files; water shell will be converted to electrostatic point-charge embedding.
18,PYR5,monomer,site_energy,26,50,226,production_screening,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame018_PYR5_water5A.xyz,Full-production monomer site-energy input reconstructed from local QM cluster XYZ files; water shell will be converted to electrostatic point-charge embedding.
19,PYR2,monomer,site_energy,26,44,202,production_screening,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame019_PYR2_water5A.xyz,Full-production monomer site-energy input reconstructed from local QM cluster XYZ files; water shell will be converted to electrostatic point-charge embedding.
19,PYR3,monomer,site_energy,26,48,218,production_screening,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame019_PYR3_water5A.xyz,Full-production monomer site-energy input reconstructed from local QM cluster XYZ files; water shell will be converted to electrostatic point-charge embedding.
19,PYR4,monomer,site_energy,26,44,202,production_screening,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame019_PYR4_water5A.xyz,Full-production monomer site-energy input reconstructed from local QM cluster XYZ files; water shell will be converted to electrostatic point-charge embedding.
19,PYR5,monomer,site_energy,26,48,218,production_screening,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame019_PYR5_water5A.xyz,Full-production monomer site-energy input reconstructed from local QM cluster XYZ files; water shell will be converted to electrostatic point-charge embedding.
20,PYR2,monomer,site_energy,26,47,214,production_screening,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame020_PYR2_water5A.xyz,Full-production monomer site-energy input reconstructed from local QM cluster XYZ files; water shell will be converted to electrostatic point-charge embedding.
20,PYR3,monomer,site_energy,26,42,194,production_screening,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame020_PYR3_water5A.xyz,Full-production monomer site-energy input reconstructed from local QM cluster XYZ files; water shell will be converted to electrostatic point-charge embedding.
20,PYR4,monomer,site_energy,26,48,218,production_screening,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame020_PYR4_water5A.xyz,Full-production monomer site-energy input reconstructed from local QM cluster XYZ files; water shell will be converted to electrostatic point-charge embedding.
20,PYR5,monomer,site_energy,26,47,214,production_screening,runs/phase1A/day016_md_bath_extraction/local_qm_clusters/frame020_PYR5_water5A.xyz,Full-production monomer site-energy input reconstructed from local QM cluster XYZ files; water shell will be converted to electrostatic point-charge embedding.
