file,suffix,size_bytes,classification,classification_reason,recognized_sections,parameter_sections,instance_sections,parameter_line_count,reference_marker_count,dummy_marker_count,sha256
parameters/phase1A/accepted/hybrid_hbnBonded_kang2000_improperGeo100_validated/hbn_pyrene_4_hydratable_gap45_pyr5shift_clean032_hbnBonded_kang2000_improperGeo100.top,.top,848,DUMMY_OR_TOPOLOGY_ONLY,Explicit dummy/nonphysical marker,atomtypes | defaults | molecules | system,atomtypes,molecules | system,2,0,2,a04cb247c1f6a9e8632b97165d7046fe780cac36ae84fac72e845d5297ce89e5
parameters/phase1A/accepted/hybrid_hbnBonded_kang2000_improperGeo100_validated/pyrene.itp,.itp,14905,NO_USABLE_BN_H_PARAMETER_CONTENT,No explicit reusable BN/H parameter terms identified,angles | atoms | bonds | dihedrals | moleculetype | pairs | position_restraints,,angles | atoms | bonds | dihedrals | moleculetype | pairs,0,0,0,c3c7fd5bebd159444f9e32dbc79c9f029144cc2a33f334bb0ae2bc9b344b1f74
parameters/phase1A/accepted/hybrid_hbnBonded_kang2000_improperGeo100_validated/tip4p2005.itp,.itp,703,NO_USABLE_BN_H_PARAMETER_CONTENT,No explicit reusable BN/H parameter terms identified,atoms | exclusions | moleculetype | settles | virtual_sites3,,atoms | exclusions | moleculetype | settles,0,0,0,fccf2518123db968b7b8317877a3e2f9cf7b15aec3673c93d7ee111c9ff6133b
parameters/phase1A/accepted/hybrid_hydrated_gap45_clean032/SHA256SUMS.txt,.txt,518,MANIFEST_OR_CHECKSUM,Checksum or manifest file,,,,0,0,0,815f844368deb06106362a9bd6335e14fb0783db4137d5f3aa989954c5e1a7bc
parameters/phase1A/accepted/hybrid_hydrated_gap45_clean032/hbn_pyrene_4_hydratable_gap45_clean032.top,.top,819,DUMMY_OR_TOPOLOGY_ONLY,Explicit dummy/nonphysical marker,atomtypes | defaults | molecules | system,atomtypes,molecules | system,2,0,2,62dd6886286be4758c8a3676f472fd293d5e768f06236bfbecf9692d839226f4
parameters/phase1A/accepted/hybrid_hydrated_gap45_pyr5shift_clean032/hbn_bonded_candidate.itp,.itp,485707,DUMMY_OR_TOPOLOGY_ONLY,Explicit dummy/nonphysical marker,angles | atoms | bonds | moleculetype | position_restraints,,angles | atoms | bonds | moleculetype,0,0,4,4149c16eba17eecc40014ea4c6ca0dd60846d75cb0eafe5109e3135001153311
parameters/phase1A/accepted/hybrid_hydrated_gap45_pyr5shift_clean032/hbn_bonded_candidate_kang2000.itp,.itp,485707,DUMMY_OR_TOPOLOGY_ONLY,Explicit dummy/nonphysical marker,angles | atoms | bonds | moleculetype | position_restraints,,angles | atoms | bonds | moleculetype,0,0,4,e5d1f4b72f4d743f9984e9817da162dc43952a5009b2f4161ac2aed45fdedde9
parameters/phase1A/accepted/hybrid_hydrated_gap45_pyr5shift_clean032/hbn_bonded_candidate_kang2000_improper100.itp,.itp,574859,DUMMY_OR_TOPOLOGY_ONLY,Explicit dummy/nonphysical marker,angles | atoms | bonds | dihedrals | moleculetype | position_restraints,,angles | atoms | bonds | dihedrals | moleculetype,0,0,4,9f8d62576f58da277690d708e24d5987ab5b93c2cbb93fb5723fd5672733da75
parameters/phase1A/accepted/hybrid_hydrated_gap45_pyr5shift_clean032/hbn_bonded_candidate_kang2000_improperGeo100.itp,.itp,574859,DUMMY_OR_TOPOLOGY_ONLY,Explicit dummy/nonphysical marker,angles | atoms | bonds | dihedrals | moleculetype | position_restraints,,angles | atoms | bonds | dihedrals | moleculetype,0,0,4,a2972bc14e6e19e3dd34807f434ee7587a982bb715593a8ab57bdae3bc908db8
parameters/phase1A/accepted/hybrid_hydrated_gap45_pyr5shift_clean032/hbn_bonded_candidate_kang2000_improperGeo150.itp,.itp,574859,DUMMY_OR_TOPOLOGY_ONLY,Explicit dummy/nonphysical marker,angles | atoms | bonds | dihedrals | moleculetype | position_restraints,,angles | atoms | bonds | dihedrals | moleculetype,0,0,4,100e32f5663b87c5a6cbd5c54cb5c7287828231921a6e4f3403e05e801e4278f
parameters/phase1A/accepted/hybrid_hydrated_gap45_pyr5shift_clean032/hbn_bonded_candidate_kang2000_improperGeo200.itp,.itp,574859,DUMMY_OR_TOPOLOGY_ONLY,Explicit dummy/nonphysical marker,angles | atoms | bonds | dihedrals | moleculetype | position_restraints,,angles | atoms | bonds | dihedrals | moleculetype,0,0,4,c0093c5cd44e305b9b940c262e84f0df3ae2112889f5253608d66c1ecbade75f
parameters/phase1A/accepted/hybrid_hydrated_gap45_pyr5shift_clean032/hbn_fixed_dummy.itp,.itp,141396,DUMMY_OR_TOPOLOGY_ONLY,Explicit dummy/nonphysical marker,atoms | moleculetype | position_restraints,,atoms | moleculetype,0,0,4,26b1db8d1eeb3a9de36253786c41cbba6f0482f313827a45d80e05f0bd439de3
parameters/phase1A/accepted/hybrid_hydrated_gap45_pyr5shift_clean032/hbn_pyrene_4_hydratable_gap45_pyr5shift_clean032.top,.top,819,DUMMY_OR_TOPOLOGY_ONLY,Explicit dummy/nonphysical marker,atomtypes | defaults | molecules | system,atomtypes,molecules | system,2,0,2,dc43133ad7f37dac7b343fd47108005f212331470696689d3629b2ffa5ca6ab5
parameters/phase1A/accepted/hybrid_hydrated_gap45_pyr5shift_clean032/hbn_pyrene_4_hydratable_gap45_pyr5shift_clean032_hbnBonded.top,.top,824,DUMMY_OR_TOPOLOGY_ONLY,Explicit dummy/nonphysical marker,atomtypes | defaults | molecules | system,atomtypes,molecules | system,2,0,2,f241428ed427d21354500d7876c19a44ba5c6d2025b080f180ce62dbb77a91aa
parameters/phase1A/accepted/hybrid_hydrated_gap45_pyr5shift_clean032/hbn_pyrene_4_hydratable_gap45_pyr5shift_clean032_hbnBonded_kang2000.top,.top,833,DUMMY_OR_TOPOLOGY_ONLY,Explicit dummy/nonphysical marker,atomtypes | defaults | molecules | system,atomtypes,molecules | system,2,0,2,9f4d20b6e80c07f9b90a37259f295190e78465ef1da3f8fada161416d921a92b
parameters/phase1A/accepted/hybrid_hydrated_gap45_pyr5shift_clean032/hbn_pyrene_4_hydratable_gap45_pyr5shift_clean032_hbnBonded_kang2000_improper100.top,.top,845,DUMMY_OR_TOPOLOGY_ONLY,Explicit dummy/nonphysical marker,atomtypes | defaults | molecules | system,atomtypes,molecules | system,2,0,2,d15a074648a7e722e2907f7242b0fc5394e5309cb02d0d40915d304bc36a5ef9
parameters/phase1A/accepted/hybrid_hydrated_gap45_pyr5shift_clean032/hbn_pyrene_4_hydratable_gap45_pyr5shift_clean032_hbnBonded_kang2000_improperGeo100.top,.top,848,DUMMY_OR_TOPOLOGY_ONLY,Explicit dummy/nonphysical marker,atomtypes | defaults | molecules | system,atomtypes,molecules | system,2,0,2,a04cb247c1f6a9e8632b97165d7046fe780cac36ae84fac72e845d5297ce89e5
parameters/phase1A/accepted/hybrid_hydrated_gap45_pyr5shift_clean032/hbn_pyrene_4_hydratable_gap45_pyr5shift_clean032_hbnBonded_kang2000_improperGeo150.top,.top,848,DUMMY_OR_TOPOLOGY_ONLY,Explicit dummy/nonphysical marker,atomtypes | defaults | molecules | system,atomtypes,molecules | system,2,0,2,702b3a948459b6b7806d806ffbe4ae10665d2cb959a52c533687da3d054e5de8
parameters/phase1A/accepted/hybrid_hydrated_gap45_pyr5shift_clean032/hbn_pyrene_4_hydratable_gap45_pyr5shift_clean032_hbnBonded_kang2000_improperGeo200.top,.top,848,DUMMY_OR_TOPOLOGY_ONLY,Explicit dummy/nonphysical marker,atomtypes | defaults | molecules | system,atomtypes,molecules | system,2,0,2,0c5147ab0ede4d0aad184aa27500d8c09c3d2e5f13f70907573a54c8540bc94a
parameters/phase1A/accepted/hybrid_hydrated_gap45_pyr5shift_clean032/pyrene.itp,.itp,14905,NO_USABLE_BN_H_PARAMETER_CONTENT,No explicit reusable BN/H parameter terms identified,angles | atoms | bonds | dihedrals | moleculetype | pairs | position_restraints,,angles | atoms | bonds | dihedrals | moleculetype | pairs,0,0,0,c3c7fd5bebd159444f9e32dbc79c9f029144cc2a33f334bb0ae2bc9b344b1f74
parameters/phase1A/accepted/hybrid_hydrated_gap45_pyr5shift_clean032/tip4p2005.itp,.itp,703,NO_USABLE_BN_H_PARAMETER_CONTENT,No explicit reusable BN/H parameter terms identified,atoms | exclusions | moleculetype | settles | virtual_sites3,,atoms | exclusions | moleculetype | settles,0,0,0,fccf2518123db968b7b8317877a3e2f9cf7b15aec3673c93d7ee111c9ff6133b
parameters/phase1A/accepted/pyrene_gaff2/SHA256SUMS.txt,.txt,912,MANIFEST_OR_CHECKSUM,Checksum or manifest file,,,,0,0,0,5deb1783ef7506f2f67f1e5e585891608ec493a7b9b8b437ca030af6d4177c34
parameters/phase1A/accepted/pyrene_gromacs/SHA256SUMS.txt,.txt,517,MANIFEST_OR_CHECKSUM,Checksum or manifest file,,,,0,0,0,f81509c48e2bd49b82ec91f9272d811d36103971341ffafd0f8b0443c12495a2
parameters/phase1A/accepted/pyrene_gromacs/pyrene.itp,.itp,13775,INSTANCE_TOPOLOGY_ONLY,Contains instantiated molecular topology but no parameter-type sections,angles | atoms | bonds | dihedrals | moleculetype | pairs,,angles | atoms | bonds | dihedrals | moleculetype | pairs,0,0,0,b8779dda47780d37a0bc5814eae5e704c28f0d61e2b0db9bc8ef501936f2226a
parameters/phase1A/accepted/pyrene_gromacs/pyrene.top,.top,14749,NO_USABLE_BN_H_PARAMETER_CONTENT,No explicit reusable BN/H parameter terms identified,angles | atoms | atomtypes | bonds | defaults | dihedrals | molecules | moleculetype | pairs | system,atomtypes,angles | atoms | bonds | dihedrals | molecules | moleculetype | pairs | system,0,0,0,9b553c492212b0a42e89b0403bd49bb88ac351a7dc366202eada7dff09283a0a
parameters/phase1A/accepted/water_tip4p2005/SHA256SUMS.txt,.txt,511,MANIFEST_OR_CHECKSUM,Checksum or manifest file,,,,0,0,0,fdd4dec0ccaec1a72d138d9290e21a94c3302ff2580d94c3e48ae23e11e70bf3
parameters/phase1A/accepted/water_tip4p2005/tip4p2005.itp,.itp,703,NO_USABLE_BN_H_PARAMETER_CONTENT,No explicit reusable BN/H parameter terms identified,atoms | exclusions | moleculetype | settles | virtual_sites3,,atoms | exclusions | moleculetype | settles,0,0,0,fccf2518123db968b7b8317877a3e2f9cf7b15aec3673c93d7ee111c9ff6133b
parameters/phase1A/accepted/water_tip4p2005/tip4p2005_atomtypes.itp,.itp,277,NO_USABLE_BN_H_PARAMETER_CONTENT,No explicit reusable BN/H parameter terms identified,atomtypes,atomtypes,,0,0,0,2739ecc85d0d2e8be36e19f4ed97f35bfcd2ba09e22b56aa91117711fe491b17
parameters/phase1A/hybrid_dry_gromacs/hbn_fixed_dummy.itp,.itp,84189,DUMMY_OR_TOPOLOGY_ONLY,Explicit dummy/nonphysical marker,atoms | moleculetype,,atoms | moleculetype,0,0,4,b1ec837d2483f076e4ac72059b4b696599b2d8be180e7951314c172e3a144cf0
parameters/phase1A/hybrid_dry_gromacs/hbn_pyrene_4_dry.top,.top,702,DUMMY_OR_TOPOLOGY_ONLY,Explicit dummy/nonphysical marker,atomtypes | defaults | molecules | system,atomtypes,molecules | system,2,0,2,d4d08f743c26d5c6f8a6e3a2a3bd2a5a2805e8039028d855cef70e87ba8e1269
parameters/phase1A/hybrid_dry_gromacs/pyrene.itp,.itp,13775,INSTANCE_TOPOLOGY_ONLY,Contains instantiated molecular topology but no parameter-type sections,angles | atoms | bonds | dihedrals | moleculetype | pairs,,angles | atoms | bonds | dihedrals | moleculetype | pairs,0,0,0,b8779dda47780d37a0bc5814eae5e704c28f0d61e2b0db9bc8ef501936f2226a
parameters/phase1A/hybrid_hydrated_gromacs/hbn_fixed_dummy.itp,.itp,141396,DUMMY_OR_TOPOLOGY_ONLY,Explicit dummy/nonphysical marker,atoms | moleculetype | position_restraints,,atoms | moleculetype,0,0,4,26b1db8d1eeb3a9de36253786c41cbba6f0482f313827a45d80e05f0bd439de3
parameters/phase1A/hybrid_hydrated_gromacs/hbn_pyrene_4_hydratable.top,.top,853,DUMMY_OR_TOPOLOGY_ONLY,Explicit dummy/nonphysical marker,atomtypes | defaults | molecules | system,atomtypes,molecules | system,2,0,2,81c2911958c18a972e611ced17ba4aa0d64127792616c779d27fca7c3948c0d8
parameters/phase1A/hybrid_hydrated_gromacs/hbn_pyrene_4_hydratable_clean.top,.top,819,DUMMY_OR_TOPOLOGY_ONLY,Explicit dummy/nonphysical marker,atomtypes | defaults | molecules | system,atomtypes,molecules | system,2,0,2,0b60595598054e17ee557b38d6ac99a0474acede14b964d9c7d20cfe2409620e
parameters/phase1A/hybrid_hydrated_gromacs/hbn_pyrene_4_hydratable_clean032.top,.top,819,DUMMY_OR_TOPOLOGY_ONLY,Explicit dummy/nonphysical marker,atomtypes | defaults | molecules | system,atomtypes,molecules | system,2,0,2,761ca71650e8b16f04422adadfb5da273bc842338bf4e48418585956e8395a79
parameters/phase1A/hybrid_hydrated_gromacs/hbn_pyrene_4_hydratable_gap45_clean032.top,.top,819,DUMMY_OR_TOPOLOGY_ONLY,Explicit dummy/nonphysical marker,atomtypes | defaults | molecules | system,atomtypes,molecules | system,2,0,2,dd588690ed3139fb4ae66101ff0e57dc4cbd476d303e70f83797ac328b488698
parameters/phase1A/hybrid_hydrated_gromacs/hbn_pyrene_4_hydratable_gap45_pyr5shift_clean032.top,.top,819,DUMMY_OR_TOPOLOGY_ONLY,Explicit dummy/nonphysical marker,atomtypes | defaults | molecules | system,atomtypes,molecules | system,2,0,2,34b651b4a38e2768ac9736f7327525f01a147aad496149d45302244d69b6f4ee
parameters/phase1A/hybrid_hydrated_gromacs/pyrene.itp,.itp,14746,NO_USABLE_BN_H_PARAMETER_CONTENT,No explicit reusable BN/H parameter terms identified,angles | atoms | bonds | dihedrals | moleculetype | pairs | position_restraints,,angles | atoms | bonds | dihedrals | moleculetype | pairs,0,0,0,ecb02c513fb214eb66ed156095ad64f04e2928c1d16250a4a3fcbf1259abe3f8
parameters/phase1A/hybrid_hydrated_gromacs/tip4p2005.itp,.itp,703,NO_USABLE_BN_H_PARAMETER_CONTENT,No explicit reusable BN/H parameter terms identified,atoms | exclusions | moleculetype | settles | virtual_sites3,,atoms | exclusions | moleculetype | settles,0,0,0,fccf2518123db968b7b8317877a3e2f9cf7b15aec3673c93d7ee111c9ff6133b
parameters/phase1A/hybrid_hydrated_gromacs/tip4p2005_atomtypes.itp,.itp,277,NO_USABLE_BN_H_PARAMETER_CONTENT,No explicit reusable BN/H parameter terms identified,atomtypes,atomtypes,,0,0,0,2739ecc85d0d2e8be36e19f4ed97f35bfcd2ba09e22b56aa91117711fe491b17
parameters/phase1A/pyrene_gromacs/pyrene.itp,.itp,13775,INSTANCE_TOPOLOGY_ONLY,Contains instantiated molecular topology but no parameter-type sections,angles | atoms | bonds | dihedrals | moleculetype | pairs,,angles | atoms | bonds | dihedrals | moleculetype | pairs,0,0,0,b8779dda47780d37a0bc5814eae5e704c28f0d61e2b0db9bc8ef501936f2226a
parameters/phase1A/pyrene_gromacs/pyrene.top,.top,14749,NO_USABLE_BN_H_PARAMETER_CONTENT,No explicit reusable BN/H parameter terms identified,angles | atoms | atomtypes | bonds | defaults | dihedrals | molecules | moleculetype | pairs | system,atomtypes,angles | atoms | bonds | dihedrals | molecules | moleculetype | pairs | system,0,0,0,9b553c492212b0a42e89b0403bd49bb88ac351a7dc366202eada7dff09283a0a
parameters/phase1A/water_tip4p2005/tip4p2005.itp,.itp,703,NO_USABLE_BN_H_PARAMETER_CONTENT,No explicit reusable BN/H parameter terms identified,atoms | exclusions | moleculetype | settles | virtual_sites3,,atoms | exclusions | moleculetype | settles,0,0,0,fccf2518123db968b7b8317877a3e2f9cf7b15aec3673c93d7ee111c9ff6133b
parameters/phase1A/water_tip4p2005/tip4p2005_atomtypes.itp,.itp,277,NO_USABLE_BN_H_PARAMETER_CONTENT,No explicit reusable BN/H parameter terms identified,atomtypes,atomtypes,,0,0,0,2739ecc85d0d2e8be36e19f4ed97f35bfcd2ba09e22b56aa91117711fe491b17
structures/phase1A/accepted/SHA256SUMS.txt,.txt,2554,MANIFEST_OR_CHECKSUM,Checksum or manifest file,,,,0,0,0,9e95b146ca07518968ad0c3b1ec2b74dfd853f26ab7820852bbbceec5d8b6d05
structures/phase1A/accepted/hbn_noH/audit_hbn_bonds_noH.txt,.txt,73800,NO_USABLE_BN_H_PARAMETER_CONTENT,No explicit reusable BN/H parameter terms identified,,,,0,0,0,9681da90e90efdf3dd61875fb57f926e8b44a6abdf7ecb671484510205723e4d
structures/phase1A/accepted/hbn_noH/audit_hbn_connectivity_noH.txt,.txt,31920,NO_USABLE_BN_H_PARAMETER_CONTENT,No explicit reusable BN/H parameter terms identified,,,,0,0,0,9d5100f4f6cffbdc2494c246b7500dc759d244b150049ab914d7b18f1a10d611
structures/phase1A/accepted/hbn_noH/audit_hbn_distances_noH.txt,.txt,79,NO_USABLE_BN_H_PARAMETER_CONTENT,No explicit reusable BN/H parameter terms identified,,,,0,0,0,5f472530902ca1623ebb214cf557e89e09d982355e035aedfcb27aad3a0cacaa
structures/phase1A/accepted/hbn_noH/audit_hbn_overlaps_noH.txt,.txt,35,NO_USABLE_BN_H_PARAMETER_CONTENT,No explicit reusable BN/H parameter terms identified,,,,0,0,0,0b53d84fff63ab28d6065db5c1feacb7fb09caf595343701be6337910e7469b0
structures/phase1A/audit_bonds.txt,.txt,73800,NO_USABLE_BN_H_PARAMETER_CONTENT,No explicit reusable BN/H parameter terms identified,,,,0,0,0,9681da90e90efdf3dd61875fb57f926e8b44a6abdf7ecb671484510205723e4d
structures/phase1A/audit_connectivity.txt,.txt,31920,NO_USABLE_BN_H_PARAMETER_CONTENT,No explicit reusable BN/H parameter terms identified,,,,0,0,0,9d5100f4f6cffbdc2494c246b7500dc759d244b150049ab914d7b18f1a10d611
structures/phase1A/audit_distances.txt,.txt,79,NO_USABLE_BN_H_PARAMETER_CONTENT,No explicit reusable BN/H parameter terms identified,,,,0,0,0,5f472530902ca1623ebb214cf557e89e09d982355e035aedfcb27aad3a0cacaa
structures/phase1A/audit_overlaps.txt,.txt,35,NO_USABLE_BN_H_PARAMETER_CONTENT,No explicit reusable BN/H parameter terms identified,,,,0,0,0,0b53d84fff63ab28d6065db5c1feacb7fb09caf595343701be6337910e7469b0
